mls,feed_status,ticket,dlm,state,brokerage_name,broker_name,agreement_type,feed_access_level,display_url,rules_link,logo_link,disclaimer,dlm_email,company_name,last_updated,new_date,ready_for_compliance,pending_cws,pending_broker,pending_mls,pending_compliance_mod,approved_provisioning,approved_complete
Lakeway Area Association of REALTORS,Approved - Complete,ticketlink.com,C,TN,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/16/2024 10:47am,7/31/2024,9/16/2024,,10/9/2024,,,10/11/2024,10/16/2024
Laredo Association of REALTORS,Blocked,ticketlink.com,D,TX,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/14/2024 11:12am,7/31/2024,9/30/2024,,9/30/2024,,,11/14/2024,11/15/2024
Laredo Association of REALTORS,Approved - Complete,ticketlink.com,D,TX,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/15/2024 1:56pm,7/30/2024,9/30/2024,,9/30/2024,10/10/2024,,10/4/2024,10/9/2024
Las Vegas REALTORS,Approved - Complete,ticketlink.com,D,NV,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/9/2024 10:55am,7/30/2024,9/26/2024,,9/26/2024,,,10/4/2024,10/9/2024
Las Vegas REALTORS,Approved - Complete,ticketlink.com,D,NV,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/9/2024 11:18am,7/31/2024,9/26/2024,,9/26/2024,,,8/23/2024,8/28/2024
Lee County Association of REALTORS,Approved - Complete,ticketlink.com,C,AL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/28/2024 9:34am,,,,,,,8/28/2024,9/23/2024
Lee County Association of REALTORS,Approved - Complete,ticketlink.com,C,AL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/23/2024 10:58am,7/31/2024,8/27/2024,,8/28/2024,,,10/1/2024,10/4/2024
Longleaf Pine REALTORS,Approved - Complete,ticketlink.com,C,NC,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/4/2024 11:08am,7/29/2024,9/11/2024,,9/23/2024,,,10/11/2024,10/18/2024
Longleaf Pine REALTORS,Approved - Complete,ticketlink.com,C,NC,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/18/2024 10:44am,7/31/2024,9/11/2024,,9/23/2024,,,10/23/2024,11/6/2024
Lubbock Association of REALTORS,Approved - Complete,ticketlink.com,D,TX,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:58am,7/29/2024,10/21/2024,,10/21/2024,10/22/2024,,10/24/2024,11/12/2024
Lubbock Association of REALTORS,Approved - Complete,ticketlink.com,D,TX,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/12/2024 9:26am,7/31/2024,10/21/2024,,10/23/2024,10/23/2024,,,
Maine Listings,New,ticketlink.com,A,ME,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,7/31/2024 9:55am,7/31/2024,,,,,12/12/2024,,12/12/2024
Maine Listings,Pending - Compliance Mod,ticketlink.com,A,ME,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/12/2024 1:17pm,,,,8/13/2024,9/25/2024,,,
Marathon and Lower Keys Association of REALTORS,Cancelled,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/2/2024 3:56pm,7/29/2024,10/21/2024,,11/5/2024,,,,
Marathon and Lower Keys Association of REALTORS,Cancelled,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/2/2024 3:57pm,7/31/2024,10/21/2024,,11/5/2024,,,10/28/2024,11/5/2024
MARIS MLS,Approved - Complete,ticketlink.com,B,MO,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/5/2024 5:39pm,7/30/2024,9/11/2024,,9/13/2024,,,10/28/2024,11/12/2024
MARIS MLS,Approved - Complete,ticketlink.com,B,MO,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/12/2024 10:06am,7/31/2024,9/11/2024,,9/13/2024,,,11/12/2024,11/14/2024
Mason City Multiple Listing Service,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/14/2024 10:25am,7/30/2024,11/6/2024,,11/6/2024,11/7/2024,,11/12/2024,11/14/2024
Mason City Multiple Listing Service,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/14/2024 10:32am,7/31/2024,11/6/2024,,,11/7/2024,,11/12/2024,11/15/2024
Memphis Area Association of REALTORS,Approved - Complete,ticketlink.com,C,TN,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/15/2024 1:55pm,7/29/2024,10/21/2024,,11/5/2024,11/6/2024,,11/12/2024,11/20/2024
Memphis Area Association of REALTORS,Approved - Complete,ticketlink.com,C,TN,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/20/2024 9:36am,7/31/2024,10/21/2024,,11/5/2024,11/6/2024,,,
Metro MLS,Pending - Broker,ticketlink.com,A,WI,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/18/2024 2:02pm,7/31/2024,9/11/2024,,9/18/2024,,,10/24/2024,11/6/2024
Metro MLS,Approved - Complete,ticketlink.com,A,WI,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:20am,7/29/2024,9/11/2024,,9/18/2024,10/16/2024,,,
MetroList,Pending - CWS,ticketlink.com,D,CA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/12/2024 1:10pm,7/31/2024,9/16/2024,12/12/2024,9/16/2024,,,,
MetroList,Pending - MLS,ticketlink.com,D,CA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/22/2024 9:38am,,,,,8/22/2024,,10/11/2024,10/17/2024
MIAMI REALTORS MLS,Pending - Broker,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/9/2024 4:48pm,7/31/2024,9/16/2024,,10/9/2024,,,,
MIAMI REALTORS MLS,Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/17/2024 9:55am,,,,,8/23/2024,,,
Michigan Regional Information Center (MichRIC),Pending - MLS,ticketlink.com,A,MI,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/15/2024 12:45pm,7/30/2024,9/11/2024,,10/7/2024,11/15/2024,,,
Michigan Regional Information Center (MichRIC),Pending - MLS,ticketlink.com,A,MI,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/15/2024 12:45pm,7/31/2024,9/11/2024,,9/25/2024,11/15/2024,,12/13/2024,
Mid Carolina Regional Association of REALTORS,New,ticketlink.com,C,NC,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,7/31/2024 9:55am,7/31/2024,,,,,,9/11/2024,9/12/2024
Mid Carolina Regional Association of REALTORS,Approved - Provisioning,ticketlink.com,C,NC,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/13/2024 1:37pm,7/30/2024,9/25/2024,12/6/2024,11/6/2024,12/11/2024,,9/11/2024,9/17/2024
Midwest Real Estate Data (MRED),Approved - Complete,ticketlink.com,A,IL,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/12/2024 11:04am,,,,8/13/2024,9/10/2024,,,
Midwest Real Estate Data (MRED),Approved - Complete,ticketlink.com,A,IL,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/17/2024 1:42pm,7/31/2024,,,9/10/2024,,,10/10/2024,10/16/2024
Mitchell Board of REALTORS,Pending - MLS,ticketlink.com,B,SD,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/8/2024 4:26pm,7/31/2024,9/30/2024,,,10/8/2024,,9/25/2024,10/2/2024
Mitchell Board of REALTORS,Approved - Complete,ticketlink.com,B,SD,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/16/2024 10:40am,7/29/2024,9/30/2024,,,10/8/2024,,9/25/2024,9/25/2024
MLS Now,Approved - Complete,ticketlink.com,A,OH,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/2/2024 9:43am,7/29/2024,9/11/2024,,9/11/2024,,,,
MLS Now,Approved - Complete,ticketlink.com,A,OH,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/25/2024 1:16pm,7/31/2024,9/11/2024,,9/11/2024,,,,
MLS of Greater Cincinnati (CincyMLS),Cancelled,ticketlink.com,A,OH,TESTBROKERAGE,TESTBROKER,Broker-Initiated (BAM),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/20/2024 12:14pm,7/30/2024,,,,,,8/30/2024,9/4/2024
MLS of Greater Cincinnati (CincyMLS),Cancelled,ticketlink.com,A,OH,TESTBROKERAGE,TESTBROKER,Broker-Initiated (BAM),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/20/2024 12:14pm,7/31/2024,,,,,,9/16/2024,9/19/2024
MLS Property Information Network (MLS PIN),Approved - Complete,ticketlink.com,A,MA,TESTBROKERAGE,TESTBROKER,Automatic,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/4/2024 6:48pm,,8/21/2024,,,,,10/22/2024,10/24/2024
MLS Property Information Network (MLS PIN),Approved - Complete,ticketlink.com,A,MA,TESTBROKERAGE,TESTBROKER,Automatic,Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/19/2024 6:37pm,7/31/2024,9/16/2024,,,,,10/22/2024,10/30/2024
MLS Technology,Approved - Complete,ticketlink.com,D,OK,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/24/2024 9:24am,7/30/2024,9/30/2024,,9/30/2024,,,,
MLS Technology,Approved - Complete,ticketlink.com,D,OK,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/30/2024 10:42am,7/31/2024,9/30/2024,,9/30/2024,,,8/22/2024,8/28/2024
MLS United,Pending - Broker,ticketlink.com,C,MS,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/28/2024 11:42am,7/31/2024,8/27/2024,,8/28/2024,,12/12/2024,,12/12/2024
MLS United,Approved - Complete,ticketlink.com,C,MS,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/28/2024 9:34am,,,,,,,11/21/2024,11/22/2024
MLSListings,Pending - Compliance Mod,ticketlink.com,D,CA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/12/2024 11:26am,7/29/2024,9/26/2024,,9/27/2024,,,,
MLSListings,Approved - Complete,ticketlink.com,D,CA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/22/2024 9:40am,7/31/2024,9/26/2024,,9/27/2024,11/19/2024,,,
MLSOK,Pending - Broker,ticketlink.com,D,OK,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/30/2024 9:43am,7/31/2024,9/26/2024,,9/30/2024,,11/13/2024,,11/27/2024
MLSOK,Approved - Complete,ticketlink.com,D,OK,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/27/2024 11:24am,7/29/2024,9/26/2024,,9/30/2024,10/16/2024,,,8/20/2024
Monmouth Ocean Regional Multiple Listing Service,Approved - Complete,ticketlink.com,A,NJ,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/20/2024 1:15pm,,,,,,,8/16/2024,10/9/2024
Monmouth Ocean Regional Multiple Listing Service,Approved - Complete,ticketlink.com,A,NJ,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/9/2024 11:25am,,,,,,,,8/20/2024
Montana Regional MLS,Approved - Complete,ticketlink.com,B,MT,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/20/2024 10:32am,,,,,,,8/28/2024,9/17/2024
Montana Regional MLS,Approved - Complete,ticketlink.com,B,MT,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/17/2024 1:21pm,7/31/2024,8/27/2024,,,,,9/12/2024,9/19/2024
Montgomery Area Association of REALTORS,Approved - Complete,ticketlink.com,C,AL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/19/2024 1:43pm,,,,8/23/2024,,,10/11/2024,10/16/2024
Montgomery Area Association of REALTORS,Approved - Complete,ticketlink.com,C,AL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/16/2024 10:46am,7/31/2024,9/18/2024,,10/9/2024,,,10/16/2024,10/16/2024
Mount Rushmore Area Association of REALTORS,Approved - Complete,ticketlink.com,B,SD,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/16/2024 10:45am,7/29/2024,9/26/2024,,10/1/2024,10/15/2024,,10/15/2024,10/16/2024
Mount Rushmore Area Association of REALTORS,Approved - Complete,ticketlink.com,B,SD,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/16/2024 10:43am,7/31/2024,9/26/2024,,10/1/2024,10/15/2024,,10/28/2024,11/6/2024
Mountain Lakes Board of REALTORS,Approved - Complete,ticketlink.com,C,NC,TESTBROKERAGE,TESTBROKER,CWS Request,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:39am,8/8/2024,10/17/2024,,,10/25/2024,,10/28/2024,11/20/2024
Mountain Lakes Board of REALTORS,Approved - Complete,ticketlink.com,C,NC,TESTBROKERAGE,TESTBROKER,CWS Request,Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/20/2024 9:34am,8/8/2024,10/17/2024,,,10/25/2024,,11/21/2024,11/21/2024
Muscatine Multiple Listing Service,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/21/2024 5:27pm,7/30/2024,9/26/2024,,10/1/2024,11/20/2024,,11/21/2024,11/22/2024
Muscatine Multiple Listing Service,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/22/2024 12:31pm,7/31/2024,9/26/2024,,10/1/2024,11/20/2024,,,
Naples Area Board of REALTORS,Pending - Broker,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Broker-Initiated (BAM),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/14/2024 12:41pm,7/31/2024,11/6/2024,11/6/2024,11/14/2024,,,,
Naples Area Board of REALTORS,Pending - MLS,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Broker-Initiated (BAM),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/13/2024 10:36am,7/30/2024,11/6/2024,11/6/2024,11/14/2024,12/13/2024,,,
New Jersey MLS,Cancelled,ticketlink.com,A,NJ,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/4/2024 2:00pm,7/29/2024,10/21/2024,,11/6/2024,,,,
New Jersey MLS,Cancelled,ticketlink.com,A,NJ,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/4/2024 2:02pm,7/31/2024,10/21/2024,,11/6/2024,,,,
New Smyrna Beach Board of REALTORS,Cancelled,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/23/2024 1:39pm,,,,,,,,
New Smyrna Beach Board of REALTORS,Cancelled,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/26/2024 1:09pm,,,,,,,9/24/2024,10/2/2024
NoCoast MLS,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Digital Agreement (MLS Grid),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/2/2024 10:40am,7/30/2024,9/13/2024,,9/13/2024,,,9/13/2024,11/22/2024
NoCoast MLS,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Digital Agreement (MLS Grid),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/22/2024 2:27pm,7/31/2024,9/13/2024,,9/13/2024,,,,
North Carolina Regional MLS,Pending - MLS,ticketlink.com,C,NC,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/3/2024 2:05pm,7/29/2024,9/26/2024,,11/6/2024,12/3/2024,,,
North Carolina Regional MLS,Pending - MLS,ticketlink.com,C,NC,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/3/2024 2:05pm,7/31/2024,9/26/2024,,11/6/2024,12/3/2024,,,8/15/2024
North Florida MLS,Pending - MLS,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/4/2024 10:02am,7/30/2024,11/6/2024,11/6/2024,,12/4/2024,,10/8/2024,10/9/2024
North Florida MLS,Pending - MLS,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/4/2024 10:03am,7/31/2024,11/6/2024,11/6/2024,12/2/2024,12/4/2024,,10/8/2024,10/9/2024
North Texas Real Estate Information Systems (NTREIS),Pending - Broker,ticketlink.com,D,TX,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/3/2024 10:22am,7/31/2024,8/27/2024,,10/3/2024,9/20/2024,,11/1/2024,11/6/2024
North Texas Real Estate Information Systems (NTREIS),Approved - Complete,ticketlink.com,D,TX,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/15/2024 7:57am,,,,,,,,11/28/2024
Northeast Iowa Regional Board of REALTORS,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/9/2024 10:35am,7/29/2024,9/26/2024,,10/1/2024,10/1/2024,,,8/20/2024
Northeast Iowa Regional Board of REALTORS,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/9/2024 11:13am,7/31/2024,9/26/2024,,10/1/2024,10/1/2024,,10/16/2024,10/16/2024
Northeast South Dakota Association of REALTORS,Approved - Complete,ticketlink.com,B,SD,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:46am,7/30/2024,9/26/2024,,10/1/2024,10/17/2024,,,
Northeast South Dakota Association of REALTORS,Approved - Complete,ticketlink.com,B,SD,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/28/2024 10:30am,7/31/2024,9/26/2024,,10/16/2024,10/17/2024,,10/23/2024,11/6/2024
Northern Great Lakes REALTORS MLS,Approved - Complete,ticketlink.com,A,MI,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/20/2024 1:16pm,,,,,,,10/1/2024,10/2/2024
Northern Great Lakes REALTORS MLS,Approved - Complete,ticketlink.com,A,MI,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/16/2024 5:53pm,7/31/2024,8/27/2024,,,10/15/2024,,10/9/2024,10/28/2024
